Nombre,Fecha,Descripcion,Observaciones,Pesos,Dolares
Carlos Perez,21-04-2025,Colaborador,En proceso,4163207,0
Carlos Perez,22-04-2025,Colaborador,,1995952,0
Carlos Perez,02-04-2025,Colaborador,En proceso,2400294,0
Carlos Perez,18-04-2025,Colaborador,Aprobado por gerencia,4673910,0
Carlos Perez,16-04-2025,Colaborador,Confirmado por cliente,1685786,0
Carlos Perez,18-04-2025,Colaborador,Confirmado por cliente,3618742,0
Carlos Perez,26-04-2025,Colaborador,Aprobado por gerencia,3071376,0
Carlos Perez,08-04-2025,Colaborador,,3855405,0
Carlos Perez,20-04-2025,Colaborador,,2257225,0
Carlos Perez,05-04-2025,Colaborador,,2782276,0
Carlos Perez,26-04-2025,Colaborador,Confirmado por cliente,4265850,0
Carlos Perez,01-04-2025,Colaborador,Sin novedades,4740470,0
Lucia Gomez,04-04-2025,Colaborador,Urgente,0,1248
Lucia Gomez,24-04-2025,Colaborador,Confirmado por cliente,3606300,0
Lucia Gomez,04-04-2025,Colaborador,Urgente,1595190,0
Lucia Gomez,24-04-2025,Colaborador,Pendiente de facturacion,4620640,0
Lucia Gomez,28-04-2025,Colaborador,Revisar documento,1782395,0
Lucia Gomez,06-04-2025,Colaborador,Revisar documento,3383243,0
Lucia Gomez,17-04-2025,Colaborador,Aprobado por gerencia,943905,0
Lucia Gomez,30-04-2025,Colaborador,Sin novedades,2840679,0
Lucia Gomez,22-04-2025,Colaborador,En proceso,1998507,0
Lucia Gomez,20-04-2025,Colaborador,Duplicado,2264208,0
Lucia Gomez,03-04-2025,Colaborador,Revisar documento,2165897,0
Lucia Gomez,05-04-2025,Colaborador,Urgente,0,1241
Lucia Gomez,11-04-2025,Colaborador,Duplicado,1532507,0
Lucia Gomez,09-04-2025,Colaborador,Pendiente de facturacion,2493217,0
Martin Fernandez,15-04-2025,Colaborador,Pendiente de facturacion,0,877
Martin Fernandez,22-04-2025,Colaborador,Aprobado por gerencia,2391412,0
Martin Fernandez,28-04-2025,Colaborador,Revisar documento,2735052,0
Martin Fernandez,02-04-2025,Colaborador,En proceso,3832138,0
Martin Fernandez,17-04-2025,Colaborador,Manual,856274,0
Martin Fernandez,19-04-2025,Colaborador,Revisar documento,3151873,0
Martin Fernandez,13-04-2025,Colaborador,Duplicado,1067639,0
Martin Fernandez,16-04-2025,Colaborador,Duplicado,3295681,0
Martin Fernandez,05-04-2025,Colaborador,Urgente,962447,0
Martin Fernandez,27-04-2025,Colaborador,Aprobado por gerencia,2668325,0
Martin Fernandez,03-04-2025,Colaborador,Duplicado,2528270,0
Martin Fernandez,13-04-2025,Colaborador,Manual,1577104,0
Martin Fernandez,27-04-2025,Colaborador,Pendiente de facturacion,4755404,0
Martin Fernandez,11-04-2025,Colaborador,En proceso,0,1117
Martin Fernandez,15-04-2025,Colaborador,Revisar documento,1946186,0
Sofia Herrera,14-04-2025,Colaborador,Manual,3067381,0
Sofia Herrera,03-04-2025,Colaborador,,2949032,0
Sofia Herrera,02-04-2025,Colaborador,Confirmado por cliente,1184709,0
