Nombre,Fecha,Descripcion,Observaciones,Pesos,Dolares
Carlos Perez,5/2/2025,Colaboradores,,1358718,0
Carlos Perez,5/1/2025,Colaboradores,Sin novedades,1933926,0
Carlos Perez,5/16/2025,Colaboradores,En proceso,4298892,0
Carlos Perez,5/31/2025,Colaboradores,Sin novedades,0,978
Carlos Perez,5/8/2025,Colaboradores,Urgente,0,1172
Carlos Perez,5/18/2025,Colaboradores,En proceso,4864922,0
Lucia Gomez,5/7/2025,Colaboradores,Confirmado por cliente,3716106,0
Lucia Gomez,5/26/2025,Colaboradores,Sin novedades,2836073,0
Lucia Gomez,5/26/2025,Colaboradores,Revisar documento,0,956
Lucia Gomez,5/28/2025,Colaboradores,Confirmado por cliente,1828009,0
Lucia Gomez,5/26/2025,Colaboradores,Sin novedades,0,837
Lucia Gomez,5/9/2025,Colaboradores,Urgente,1202508,0
Lucia Gomez,5/10/2025,Colaboradores,Revisar documento,3481422,0
Lucia Gomez,5/19/2025,Colaboradores,Sin novedades,1730626,0
Lucia Gomez,5/12/2025,Colaboradores,,1354579,0
Lucia Gomez,5/7/2025,Colaboradores,Sin novedades,0,721
Martin Fernandez,5/31/2025,Colaboradores,En proceso,2252624,0
Martin Fernandez,5/10/2025,Colaboradores,Aprobado por gerencia,1386479,0
Martin Fernandez,5/21/2025,Colaboradores,En proceso,3575825,0
Martin Fernandez,5/30/2025,Colaboradores,Revisar documento,0,1085
Martin Fernandez,5/26/2025,Colaboradores,Confirmado por cliente,0,965
Martin Fernandez,5/3/2025,Colaboradores,Sin novedades,2505366,0
Martin Fernandez,5/3/2025,Colaboradores,Pendiente de facturacion,4922201,0
Sofia Herrera,5/26/2025,Colaboradores,Aprobado por gerencia,3354403,0
Sofia Herrera,5/11/2025,Colaboradores,Sin novedades,0,940
Sofia Herrera,5/4/2025,Colaboradores,,0,994
Sofia Herrera,5/26/2025,Colaboradores,Pendiente de facturacion,2246954,0
Sofia Herrera,5/26/2025,Colaboradores,Confirmado por cliente,3746494,0
Sofia Herrera,5/16/2025,Colaboradores,Duplicado,0,875
Sofia Herrera,5/2/2025,Colaboradores,Manual,3061780,0
Sofia Herrera,5/16/2025,Colaboradores,En proceso,3273820,0
Sofia Herrera,5/2/2025,Colaboradores,,2278600,0
Julian Diaz,5/22/2025,Colaboradores,Manual,1376079,0
Julian Diaz,5/2/2025,Colaboradores,Sin novedades,3638066,0
Julian Diaz,5/9/2025,Colaboradores,Confirmado por cliente,0,904
Julian Diaz,5/12/2025,Colaboradores,Revisar documento,1794120,0
Julian Diaz,5/25/2025,Colaboradores,Duplicado,4361576,0
Julian Diaz,5/12/2025,Colaboradores,Confirmado por cliente,0,1105
Valentina Rios,5/22/2025,Colaboradores,Revisar documento,854900,0
