Nombre,Fecha,Descripcion,Observaciones,Pesos,Dolares
Carlos Perez,2025-04-21,Colaborador,En proceso,4163207,0
Carlos Perez,2025-04-22,Colaborador,,1995952,0
Carlos Perez,2025-04-02,Colaborador,En proceso,2400294,0
Carlos Perez,2025-04-18,Colaborador,Aprobado por gerencia,4673910,0
Carlos Perez,2025-04-16,Colaborador,Confirmado por cliente,1685786,0
Carlos Perez,2025-04-18,Colaborador,Confirmado por cliente,3618742,0
Carlos Perez,2025-04-26,Colaborador,Aprobado por gerencia,3071376,0
Carlos Perez,2025-04-08,Colaborador,,3855405,0
Carlos Perez,2025-04-20,Colaborador,,2257225,0
Carlos Perez,2025-04-05,Colaborador,,2782276,0
Carlos Perez,2025-04-26,Colaborador,Confirmado por cliente,4265850,0
Carlos Perez,2025-04-01,Colaborador,Sin novedades,4740470,0
Lucia Gomez,2025-04-04,Colaborador,Urgente,0,1248
Lucia Gomez,2025-04-24,Colaborador,Confirmado por cliente,3606300,0
Lucia Gomez,2025-04-04,Colaborador,Urgente,1595190,0
Lucia Gomez,2025-04-24,Colaborador,Pendiente de facturacion,4620640,0
Lucia Gomez,2025-04-28,Colaborador,Revisar documento,1782395,0
Lucia Gomez,2025-04-06,Colaborador,Revisar documento,3383243,0
Lucia Gomez,2025-04-17,Colaborador,Aprobado por gerencia,943905,0
Lucia Gomez,2025-04-30,Colaborador,Sin novedades,2840679,0
Lucia Gomez,2025-04-22,Colaborador,En proceso,1998507,0
Lucia Gomez,2025-04-20,Colaborador,Duplicado,2264208,0
Lucia Gomez,2025-04-03,Colaborador,Revisar documento,2165897,0
Lucia Gomez,2025-04-05,Colaborador,Urgente,0,1241
Lucia Gomez,2025-04-11,Colaborador,Duplicado,1532507,0
Lucia Gomez,2025-04-09,Colaborador,Pendiente de facturacion,2493217,0
Martin Fernandez,2025-04-15,Colaborador,Pendiente de facturacion,0,877
Martin Fernandez,2025-04-22,Colaborador,Aprobado por gerencia,2391412,0
Martin Fernandez,2025-04-28,Colaborador,Revisar documento,2735052,0
Martin Fernandez,2025-04-02,Colaborador,En proceso,3832138,0
Martin Fernandez,2025-04-17,Colaborador,Manual,856274,0
Martin Fernandez,2025-04-19,Colaborador,Revisar documento,3151873,0
Martin Fernandez,2025-04-13,Colaborador,Duplicado,1067639,0
Martin Fernandez,2025-04-16,Colaborador,Duplicado,3295681,0
Martin Fernandez,2025-04-05,Colaborador,Urgente,962447,0
Martin Fernandez,2025-04-27,Colaborador,Aprobado por gerencia,2668325,0
Martin Fernandez,2025-04-03,Colaborador,Duplicado,2528270,0
Martin Fernandez,2025-04-13,Colaborador,Manual,1577104,0
Martin Fernandez,2025-04-27,Colaborador,Pendiente de facturacion,4755404,0
Martin Fernandez,2025-04-11,Colaborador,En proceso,0,1117
Martin Fernandez,2025-04-15,Colaborador,Revisar documento,1946186,0
Sofia Herrera,2025-04-14,Colaborador,Manual,3067381,0
Sofia Herrera,2025-04-03,Colaborador,,2949032,0
Sofia Herrera,2025-04-02,Colaborador,Confirmado por cliente,1184709,0
Sofia Herrera,2025-04-09,Colaborador,Confirmado por cliente,0,1268
Sofia Herrera,2025-04-29,Colaborador,En proceso,1702191,0
Sofia Herrera,2025-04-25,Colaborador,Confirmado por cliente,2315785,0
Sofia Herrera,2025-04-18,Colaborador,Pendiente de facturacion,4872605,0
Sofia Herrera,2025-04-24,Colaborador,Aprobado por gerencia,2928223,0
Sofia Herrera,2025-04-08,Colaborador,,3775955,0
Sofia Herrera,2025-04-25,Colaborador,Aprobado por gerencia,4880306,0
Sofia Herrera,2025-04-16,Colaborador,Pendiente de facturacion,0,1105
Julian Diaz,2025-04-30,Colaborador,Confirmado por cliente,1555516,0
Julian Diaz,2025-04-04,Colaborador,Sin novedades,1039939,0
Julian Diaz,2025-04-07,Colaborador,,3986001,0
Julian Diaz,2025-04-29,Colaborador,Duplicado,2277370,0
Julian Diaz,2025-04-26,Colaborador,Aprobado por gerencia,3781867,0
Julian Diaz,2025-04-03,Colaborador,Duplicado,3128061,0
Julian Diaz,2025-04-12,Colaborador,,3669081,0
Julian Diaz,2025-04-21,Colaborador,Urgente,1413267,0
Julian Diaz,2025-04-26,Colaborador,Urgente,4617011,0
Julian Diaz,2025-04-03,Colaborador,Manual,4207641,0
Julian Diaz,2025-04-24,Colaborador,Urgente,4993513,0
Valentina Rios,2025-04-24,Colaborador,Sin novedades,1448909,0
Valentina Rios,2025-04-05,Colaborador,En proceso,2342382,0
Valentina Rios,2025-04-26,Colaborador,Manual,2365547,0
Valentina Rios,2025-04-02,Colaborador,Duplicado,0,886
Valentina Rios,2025-04-21,Colaborador,Aprobado por gerencia,1973914,0
Valentina Rios,2025-04-22,Colaborador,Manual,2359694,0
Valentina Rios,2025-04-16,Colaborador,,0,1123
Valentina Rios,2025-04-03,Colaborador,Sin novedades,2886097,0
Valentina Rios,2025-04-09,Colaborador,Urgente,4340259,0
Valentina Rios,2025-04-16,Colaborador,En proceso,4206474,0
Valentina Rios,2025-04-30,Colaborador,Pendiente de facturacion,2998835,0
Valentina Rios,2025-04-06,Colaborador,Duplicado,4750841,0
Valentina Rios,2025-04-30,Colaborador,,2493097,0
Emilio Castro,2025-04-30,Colaborador,Sin novedades,1042143,0
Emilio Castro,2025-04-22,Colaborador,Manual,4851324,0
Emilio Castro,2025-04-06,Colaborador,Confirmado por cliente,1501275,0
Emilio Castro,2025-04-16,Colaborador,Urgente,4804741,0
Emilio Castro,2025-04-15,Colaborador,Aprobado por gerencia,2438166,0
Emilio Castro,2025-04-27,Colaborador,Urgente,2239382,0
Emilio Castro,2025-04-28,Colaborador,Aprobado por gerencia,0,1195
Emilio Castro,2025-04-06,Colaborador,Duplicado,2630517,0
Emilio Castro,2025-04-02,Colaborador,Pendiente de facturacion,4335415,0
Emilio Castro,2025-04-12,Colaborador,Urgente,2529922,0
Emilio Castro,2025-04-14,Colaborador,Manual,1805187,0
Emilio Castro,2025-04-12,Colaborador,Confirmado por cliente,4231950,0
Emilio Castro,2025-04-22,Colaborador,Urgente,0,964
Emilio Castro,2025-04-24,Colaborador,Duplicado,2260041,0
Emilio Castro,2025-04-17,Colaborador,Pendiente de facturacion,2954678,0
Camila Morales,2025-04-10,Colaborador,Aprobado por gerencia,0,806
Camila Morales,2025-04-28,Colaborador,Pendiente de facturacion,1093420,0
Camila Morales,2025-04-07,Colaborador,Duplicado,1441975,0
Camila Morales,2025-04-28,Colaborador,Urgente,4008884,0
Camila Morales,2025-04-10,Colaborador,Aprobado por gerencia,3759394,0
Camila Morales,2025-04-13,Colaborador,Urgente,3902727,0
Camila Morales,2025-04-09,Colaborador,Pendiente de facturacion,2562621,0
Camila Morales,2025-04-03,Colaborador,Confirmado por cliente,0,1266
Camila Morales,2025-04-20,Colaborador,Revisar documento,1132543,0
Camila Morales,2025-04-17,Colaborador,Sin novedades,4586837,0
Camila Morales,2025-04-04,Colaborador,,2169632,0
Franco Medina,2025-04-15,Colaborador,Manual,4650799,0
